Latitude,Longitude
-3.3226,105.4711
-3.3225,112.7363
-3.322,112.7394
-3.3214,114.3506
-3.3207,114.3546
-3.3204,105.4635
-3.3199,105.242
-3.3198,105.467
-3.318,104.9005
-3.3178,112.7325
-3.3173,112.7355
-3.3168,112.7386
-3.3165,105.4665
-3.3163,112.7416
-3.3159,104.9144
-3.3158,112.7447
-3.3158,104.8254
-3.3153,112.7478
-3.3152,104.8289
-3.3143,112.5648
-3.3136,104.907
-3.3131,104.9105
-3.3127,104.7114
-3.3127,112.7316
-3.3126,112.7004
-3.3125,104.914
-3.3122,112.7347
-3.312,104.9174
-3.3117,112.7378
-3.3112,112.5627
-3.3112,112.7408
-3.3107,112.7439
-3.3103,104.9065
-3.3096,112.7186
-3.3078,104.2057
-3.3073,104.6575
-3.3065,112.737
-3.3045,104.6535
-3.3035,104.6605
-3.3019,112.7331
-3.3017,104.6496
-3.3012,104.653
-3.3012,105.0337
-3.3007,112.5306
-3.3004,104.9942
-3.2967,112.7323
-3.2919,114.7493
-3.291,105.0107
-3.2905,105.0142
-3.29,105.0177
-3.2876,104.9887
-3.2854,114.8269
-3.2842,104.9882
-3.2837,104.9917
-3.2836,104.9025
-3.2835,105.3451
-3.2823,104.9558
-3.2819,114.8484
-3.2807,105.341
-3.2801,105.3446
-3.2795,114.848
-3.2791,114.717
-3.2788,114.8523
-3.2787,105.3989
-3.2784,114.7212
-3.2784,114.2912
-3.2782,104.1555
-3.2773,105.3405
-3.2769,114.7212
-3.2767,114.8431
-3.276,114.8474
-3.2753,114.8517
-3.2744,104.1584
-3.2743,114.8428
-3.2736,114.8471
-3.2729,114.8514
-3.2726,114.2903
-3.271,115.0068
-3.2708,114.8422
-3.2706,105.3395
-3.2701,105.3431
-3.2701,114.8465
-3.2694,114.8508
-3.2687,105.3386
-3.2684,114.8418
-3.2677,114.8461
-3.2673,114.789
-3.267,114.8504
-3.2661,114.7846
-3.2653,114.7888
-3.2648,105.3416
-3.2641,114.8455
-3.2639,114.7973
-3.2618,114.8452
-3.26,114.7966
-3.2598,114.688
-3.2593,114.8008
-3.2574,114.6662
-3.2565,105.2607
-3.2558,114.8222
-3.2484,112.5316
-3.2447,113.7826
-3.2437,105.2769
-3.2436,113.9944
-3.2434,112.5308
-3.243,113.9982
-3.2429,112.5338
-3.2414,113.6678
-3.241,113.6681
-3.2406,104.7391
-3.2396,113.7823
-3.2392,113.7817
-3.2387,114.7063
-3.238,113.9936
-3.2374,113.9973
-3.2371,113.6598
-3.2367,113.6601
-3.2356,113.9739
-3.2355,114.0434
-3.2355,105.612
-3.2354,104.9952
-3.235,105.6156
-3.2344,105.6192
-3.234,113.7815
-3.2336,113.7808
-3.2328,114.7053
-3.2327,105.6079
-3.2324,113.9581
-3.2321,105.6114
-3.2321,104.9947
-3.2318,113.9618
-3.2318,113.9964
-3.2316,104.9982
-3.2316,105.615
-3.2312,113.9655
-3.231,105.6186
-3.23,113.973
-3.2293,113.9768
-3.2293,105.6073
-3.2288,105.6109
-3.2287,113.9805
-3.2282,105.6145
-3.2281,105.6066
-3.2281,113.9843
-3.2276,105.6181
-3.2275,105.6102
-3.2274,113.988
-3.2268,113.9572
-3.2268,112.5679
-3.2262,113.9609
-3.2256,113.9647
-3.2239,114.6867
-3.2237,114.0106
-3.2232,114.6909
-3.2231,113.9796
-3.2225,113.9834
-3.2213,113.9563
-3.2212,112.5701
-3.2206,113.9601
-3.2203,114.7077
-3.2203,114.1705
-3.2201,114.7815
-3.2196,114.1744
-3.2194,114.7858
-3.2149,113.3851
-3.2145,114.7068
-3.2143,113.3885
-3.2137,114.82
-3.2135,114.3179
-3.2128,112.5261
-3.2089,113.3876
-3.2072,113.3979
-3.2045,114.9116
-3.2041,114.8405
-3.2034,114.8448
-3.2033,114.4518
-3.2018,113.397
-3.2013,113.4004
-3.2008,105.2885
-3.1995,114.4388
-3.1989,114.4428
-3.1987,114.4802
-3.1982,114.4468
-3.1977,114.0074
-3.1975,114.4509
-3.1975,105.288
-3.1969,114.4549
-3.1956,114.0062
-3.1946,113.6424
-3.1937,114.4378
-3.1924,114.4459
-3.1923,114.06
-3.1919,114.6312
-3.1913,114.6302
-3.1903,114.8871
-3.1897,114.0567
-3.1896,114.6823
-3.1895,114.8914
-3.1891,114.0605
-3.1891,113.6416
-3.1887,114.6812
-3.1885,105.2794
-3.188,105.2829
-3.1858,114.0094
-3.1834,114.0245
-3.1831,114.012
-3.1826,114.6511
-3.1822,114.436
-3.1819,114.6501
-3.1812,114.0233
-3.1808,114.9797
-3.1772,113.3792
-3.1771,114.4311
-3.1764,114.4351
-3.1748,114.9788
-3.1741,114.9832
-3.1733,114.9515
-3.1726,105.3386
-3.1726,114.9559
-3.1725,114.5306
-3.1724,114.7883
-3.172,105.3422
-3.1718,114.5347
-3.1717,114.7926
-3.1715,105.3457
-3.1712,114.5388
-3.171,114.4675
-3.171,114.9287
-3.1707,114.7869
-3.1704,114.4716
-3.1699,114.7912
-3.1683,114.0105
-3.1673,114.4544
-3.1666,114.9549
-3.1665,105.3559
-3.166,114.5338
-3.1653,114.5379
-3.1637,105.3518
-3.1631,105.3554
-3.1627,114.6996
-3.1626,105.3589
-3.1618,114.9286
-3.1613,113.7069
-3.1608,105.3477
-3.1606,114.954
-3.1603,105.3513
-3.1599,114.9584
-3.1591,114.9268
-3.1589,114.9462
-3.1586,112.5826
-3.1583,114.9312
-3.1582,114.9505
-3.1582,105.3507
-3.1577,105.3543
-3.1575,114.9549
-3.1571,114.0087
