Jumlah,Latitude,Longitude
1,-3.43211,104.68408
1,-3.42554,105.06065
1,-3.4222,105.06014
1,-3.41941,105.05936
1,-3.4166,105.05535
1,-3.41607,105.05885
1,-3.4138,105.05135
1,-3.41327,105.05485
1,-3.40925,104.87936
1,-3.40539,104.88234
1,-3.4007,105.33411
1,-3.40016,105.33765
1,-3.39835,105.43903
1,-3.39789,105.33006
1,-3.3978,105.44259
1,-3.39735,105.3336
1,-3.39681,105.33714
1,-3.39454,105.32955
1,-3.39444,105.44209
1,-3.394,105.33309
1,-3.39389,105.44564
1,-3.39228,105.32197
1,-3.39173,105.32551
1,-3.39119,105.32904
1,-3.39064,105.33259
1,-3.38927,105.40855
1,-3.38892,105.32146
1,-3.38891,104.90121
1,-3.38873,105.41211
1,-3.38838,105.325
1,-3.38784,105.32854
1,-3.38729,105.33208
1,-3.38587,105.28088
1,-3.37863,105.2834
1,-3.37365,105.42075
1,-3.37311,105.4243
1,-3.37256,105.42786
1,-3.37099,105.04132
1,-3.37046,105.04482
1,-3.36926,105.03033
1,-3.3692,105.42735
1,-3.36872,105.03382
1,-3.36819,105.03732
1,-3.36766,105.04082
1,-3.36646,105.02632
1,-3.36592,105.02982
1,-3.36539,105.03332
1,-3.36472,105.01534
1,-3.36419,105.01883
1,-3.36366,105.02232
1,-3.3635,105.27028
1,-3.36323,104.86887
1,-3.3623,104.89721
1,-3.36177,104.9007
1,-3.36139,105.01483
1,-3.36086,105.01833
1,-3.36032,105.02182
1,-3.35845,104.9002
1,-3.35086,105.01682
1,-3.34753,105.01633
1,-3.34725,105.06281
1,-3.34699,105.01981
1,-3.34646,105.02331
1,-3.34585,105.409
1,-3.3454,104.85196
1,-3.34531,105.41257
1,-3.34477,105.41612
1,-3.34445,105.05881
1,-3.34391,105.0623
1,-3.34366,105.01932
1,-3.34312,105.02281
1,-3.34249,105.4085
1,-3.34195,105.41206
1,-3.34109,105.46293
1,-3.34086,105.01532
1,-3.34033,105.01881
1,-3.34001,105.47007
1,-3.33979,105.02232
1,-3.33967,105.40443
1,-3.33913,105.40799
1,-3.33874,105.23045
1,-3.33859,105.41155
1,-3.33821,105.23397
1,-3.33773,105.46243
1,-3.33767,105.2375
1,-3.3373,105.48792
1,-3.33713,105.24102
1,-3.33664,105.46956
1,-3.33577,105.40748
1,-3.3354,105.22994
1,-3.33523,105.41105
1,-3.33486,105.23347
1,-3.33432,105.23699
1,-3.33378,105.24052
1,-3.33175,105.27629
1,-3.33151,105.23296
1,-3.32894,105.27225
1,-3.3284,105.27579
1,-3.32709,105.23952
1,-3.32669,104.95531
1,-3.32601,105.4716
1,-3.32336,104.95481
1,-3.32264,105.47109
1,-3.32037,105.46345
1,-3.31986,105.24203
1,-3.31982,105.46701
1,-3.31797,104.90051
1,-3.31646,105.46651
1,-3.31586,104.91444
1,-3.31575,104.82544
1,-3.31522,104.82892
1,-3.31359,104.90697
1,-3.31306,104.91046
1,-3.31268,104.71143
1,-3.31253,104.91395
1,-3.312,104.91743
1,-3.31026,104.90647
1,-3.3078,104.20567
1,-3.30731,104.65749
1,-3.30451,104.65354
1,-3.30346,104.66045
1,-3.30172,104.64957
1,-3.3012,104.65304
1,-3.30119,105.03368
1,-3.30035,104.99421
1,-3.29104,105.01068
1,-3.29051,105.01418
1,-3.28997,105.01768
1,-3.28756,104.9887
1,-3.28423,104.9882
1,-3.28369,104.9917
1,-3.28364,104.90247
1,-3.28349,105.34508
1,-3.28234,104.95577
1,-3.28068,105.34103
1,-3.28013,105.34457
1,-3.27866,105.39886
1,-3.27818,104.15547
1,-3.27732,105.34052
1,-3.27435,104.15842
1,-3.27061,105.33952
1,-3.27007,105.34306
1,-3.26867,105.3386
1,-3.26478,105.34164
1,-3.25648,105.2607
1,-3.24374,105.27688
1,-3.24058,104.73914
1,-3.23551,105.61195
1,-3.23544,104.99516
1,-3.23495,105.61555
1,-3.23439,105.61915
1,-3.23268,105.60785
1,-3.23213,105.61143
1,-3.23211,104.99466
1,-3.23158,104.99815
1,-3.23157,105.61504
1,-3.23101,105.61864
1,-3.2293,105.60733
1,-3.22875,105.61093
1,-3.22819,105.61453
1,-3.22809,105.60662
1,-3.22764,105.61813
1,-3.22754,105.61023
1,-3.20082,105.28851
1,-3.19747,105.288
1,-3.1885,105.2794
1,-3.18796,105.28294
1,-3.17255,105.33861
1,-3.172,105.34216
1,-3.17145,105.34571
1,-3.16646,105.35585
1,-3.16365,105.3518
1,-3.1631,105.35535
1,-3.16255,105.3589
1,-3.16084,105.34774
1,-3.16029,105.35129
1,-3.15821,105.3507
1,-3.15767,105.35426
1,-3.15485,105.3502
1,-3.15168,105.10046
1,-3.14834,105.09996
1,-3.14446,105.10297
1,-3.13866,105.25349
1,-3.11821,104.98429
1,-3.11326,105.30762
1,-3.11309,105.62596
1,-3.11254,105.62957
1,-3.11225,105.1125
1,-3.11153,105.29648
1,-3.10978,105.17334
1,-3.10871,105.29243
1,-3.10817,105.29597
1,-3.10536,105.29193
1,-3.10492,104.96371
1,-3.10277,105.21918
1,-3.10223,105.2227
1,-3.09996,104.81673
1,-3.09974,105.17183
1,-3.09888,105.2222
1,-3.09499,105.22523
1,-3.09313,105.30459
1,-3.09218,105.22119
1,-3.09164,105.22472
1,-3.08883,105.22069
1,-3.08829,105.22422
1,-3.08548,105.22018
1,-3.08494,105.22372
1,-3.0844,105.22726
1,-3.08213,105.21968
1,-3.08159,105.22321
1,-3.08105,105.22675
1,-3.07824,105.22271
1,-3.0777,105.22624
1,-3.07489,105.22221
1,-3.07435,105.22574
1,-3.04093,105.02569
1,-3.04006,104.71889
1,-3.03953,104.72237
1,-3.02545,104.45745
1,-3.02441,104.46435
1,-3.02266,104.45351
1,-3.02214,104.45695
1,-3.02109,104.46386
1,-3.01987,104.44956
1,-3.01778,104.46336
1,-3.00117,104.59514
1,-2.96546,105.09962
1,-2.95891,105.12024
1,-2.95088,105.08303
1,-2.94928,105.09359
1,-2.947,105.08604
1,-2.93549,105.2069
1,-2.91897,105.24787
1,-2.90837,105.2499
1,-2.90555,105.24585
1,-2.90274,105.2418
1,-2.85261,104.56854
1,-2.84521,104.34806
1,-2.753,104.26295
1,-2.74917,104.26591
1,-2.65443,104.10697
1,-2.46063,103.7737
1,-2.40534,104.31782
1,-2.40482,104.32127
1,-2.4015,104.32077
1,-2.40098,104.32422
1,-2.40046,104.32766
1,-2.39976,104.30993
1,-2.39645,104.30944
1,-2.39592,104.31288
1,-2.39383,104.32668
1,-2.39314,104.30894
1,-2.39261,104.31239
1,-2.39104,104.32273
1,-2.39,104.32962
1,-2.3893,104.31189
1,-2.38878,104.31534
1,-2.38669,104.32912
1,-2.38599,104.31139
1,-2.38529,104.29366
1,-2.38477,104.29711
1,-2.38442,104.32173
1,-2.38424,104.30056
1,-2.3839,104.32518
1,-2.38041,104.30351
1,-2.37727,104.3242
1,-2.37396,104.32369
1,-2.37326,104.30596
1,-2.37274,104.30941
1,-2.36942,104.30891
1,-2.36611,104.30843
1,-2.36454,104.31876
1,-4.06601,103.90776
1,-4.06207,103.91089
1,-3.62122,105.29916
